Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
researcher,a person who studies something carefully to learn new information,10,3,3.92,hard
terrorist,a person who uses fear or violence for a political purpose,9,3,4.35,hard
admit,"to agree that you did something bad, or that something bad is true",5,2,4.58,hard
adopt,to take on responsibility for something,5,2,4.19,hard
adult,person or animal that is fully grown,5,2,4.8,hard
advance,to move forward in a certain direction,7,2,4.65,medium
advantage,thing making the chance of success higher,9,3,4.78,hard
servant,a person who works in another person's house and takes care of them,7,2,4.09,hard
advertise,"to show how good a product is, to make people buy",9,3,3.66,hard
advice,suggestion about what someone should do,6,2,4.88,medium
critic,"a person whose job is to give opinions about books, movies, or other forms of art",6,2,3.95,hard
rival,"a person, team, or organization that competes with another; a competitor",5,2,4.18,hard
affair,"event or a set of events, often unpleasant ones",6,2,4.3,hard
affect,to do something that changes something else,6,2,4.59,medium
afford,to have enough money to pay for something,6,2,4.57,medium
afraid,worried that something bad will happen; scared,6,2,4.7,medium
advertisement,"a picture, short film, text, etc., that tells people about a product or service",13,4,3.84,hard
afternoon,time after 12:00 and before the evening meal,9,3,4.72,hard
log,a piece of a tree that has been cut,3,1,4.37,hard
draft,a piece of writing or plan that is not yet finished,5,1,4.61,hard
drama,a piece of writing that tells a story about a serious subject or an exciting event,5,2,4.67,hard
agency,business that provides some service for others,6,3,4.87,medium
laboratory,a place for doing research and experiments,10,4,4.31,hard
agent,person who can represent and decide for others,5,2,4.81,hard
pub,a place that sells alcohol and food,3,1,4.23,hard
shelter,a place to live or stay that protects someone from weather,7,2,4.25,hard
agree,to have the same opinion as someone else,5,2,4.97,hard
agreement,when you share the same opinion or reach a decision,9,3,4.88,hard
resort,a place where people go on holiday,6,2,4.37,medium
ahead,in or toward the front,5,2,5.01,hard
aid,to provide things useful or needed by others,3,1,4.75,easy
aim,act of pointing something at a target,3,1,4.51,hard
air,mixture of gases around the earth that we breathe ,3,1,5.37,easy
end,a point that marks the limit of something; finish,3,1,5.68,easy
elderly,"a polite word for 'old', used to describe people",7,3,4.15,hard
platform,a raised area for people to stand on,8,2,4.67,medium
panel,"a rectangular piece of wood, metal, etc., that is a part of something bigger; a group of people who discuss something",5,2,4.55,hard
rose,a red flower used to show love,4,1,4.82,easy
chamber,a room or space inside something used for a special purpose,7,2,4.47,medium
restriction,a rule or law that limits what people can do,11,3,3.76,hard
storage,a safe place to keep something until it is needed,7,2,4.57,medium
clause,"a separate part of a contract, a will, or another legal document",6,1,3.99,hard
uniform,a set of clothes that show you are part of a group or school,7,3,4.33,hard
website,a set of internet pages that give information about a particular person or organization,7,2,5.09,hard
alone,without anyone or anything else,5,2,5.16,hard
dish,a shallow container for cooking or serving food,4,1,4.21,hard
cooperation,a situation where everyone works together to get something done,11,5,4.3,hard
cat,a small animal of the lion and tiger family with four legs and a tail that is kept as a pet,3,1,4.78,easy
adjustment,a small change to make something function better,10,3,3.88,hard
seed,a small object made by a plant from which a new plant can grow; the beginning of something,4,1,4.37,hard
cigarette,a small paper tube filled with tobacco,9,3,4.06,hard
alternative,other choices,11,4,4.71,hard
tip,a small piece of advice; the end of something,3,1,4.55,hard
chip,a small piece that was broken or taken off something,4,1,4.31,hard
coin,"a small, flat piece of metal used as money",4,1,4.19,hard
amaze,to cause wonder; to surprise completely,5,2,3.19,hard
gap,a space between two things,3,1,4.47,hard
magic,a special power that allows impossible things to happen,5,2,4.76,hard
amount,quantity of something,6,2,5.13,hard
analysis,careful study to better understand something,8,4,4.91,hard
mission,a special task or job that is given to a person or group,7,2,4.87,medium
area,a specific section or space; part of a region,4,3,5.46,hard
premise,a statement or idea that is accepted as being true and is used for developing other ideas and actions,7,2,3.82,hard
equation,a statement showing things to be equal,8,3,4.02,hard
faith,a strong belief that someone or something is honest and good,5,1,4.82,easy
animal,a living creature that is not a plant or person,6,3,4.81,medium
announce,"to make a public statement about a plan, decision",8,2,4.26,hard
castle,a strong building used in the past to protect people in times of war,6,2,4.45,medium
annual,"happening once a year, or every year",6,3,4.94,medium
bias,a strong feeling not based on facts to believe one thing over another,4,2,4.18,hard
stake,a strong stick with a pointed end that you push into the ground,5,1,4.15,hard
fool,a stupid or silly person,4,1,4.29,hard
emergency,a sudden serious event needing immediate action,9,4,4.72,hard
chocolate,a sweet brown food made from cocoa beans,9,2,4.49,hard
democracy,a system of government in which the people of a country can vote to elect who will govern them,9,4,4.51,hard
anybody,any person; anyone,7,4,4.56,hard
column,a tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page,6,2,4.33,hard
anyone,any person,6,3,5.38,hard
professor,a teacher of high rank in a university or college,9,3,4.9,hard
anyway,a word people use to change the topic of a conversation,6,3,4.91,medium
apart,separated by an amount of time or space,5,2,4.78,hard
toy,a thing that children play with,3,1,4.3,hard
it,a thing that has been previously mentioned,2,1,6.95,easy
absence,a time when you are not in a place where you should be,7,2,4.34,hard
apparently,according to what you heard; from what can be seen,10,4,4.8,hard
appeal,to request a judge or others change a decision,6,2,4.67,medium
appear,"to be seen, become visible; come into sight",6,2,4.85,medium
port,a town or an area of a town next to water where ships arrive and leave from,4,1,4.73,easy
appreciate,to be thankful for; to value or admire,10,4,4.74,hard
approach,to get close to reaching something or somewhere,8,2,4.93,medium
appropriate,right or suitable for some situation or purpose,11,4,4.67,hard
metal,"a type of hardy material that is usually hard and shiny that can be used to make things, such as iron, gold, or steel",5,2,4.82,hard
approve,to have a positive opinion of someone or something,7,2,4.08,hard
car,a vehicle with four wheels and engine that can carry things,3,1,5.45,easy
bike,a vehicle with two wheels that a person can ride,4,1,4.53,hard
plastic,"a very common, light, strong material that can be formed into many different shapes and is made by a chemical process",7,2,4.51,medium
argue,to give reasons for or against an idea or point of view,5,2,4.46,hard
virus,"a very small, basic living thing that causes disease or sickness",5,2,4.42,hard
arm,part of your body from your shoulder to your hand,3,1,4.73,easy
army,large group of soldiers organized to fight in wars,4,2,5.06,hard
child,"a very young person, between about 2 and 15",5,1,5.3,easy
arrest,to use the law to catch and keep people who committed crimes,6,2,4.55,medium
arrive,to reach the place you are travelling to,6,2,4.38,medium
article,piece of writing about a particular subject,7,3,5.09,hard
artist,"a person who is skilled and creative in art, such as a painter",6,2,4.8,medium
logic,a way of thinking by using facts and reasoning,5,2,4.36,hard
blog,a website with regularly updated short articles and opinions about a particular topic ,4,1,4.73,easy
victory,"a win in a war, game, or competition",7,3,4.73,medium
assess,to judge something's value or suitability,6,2,4.07,hard
fence,a wooden or metal structure that separates an area,5,1,4.21,hard
noun,"a word that refers to a person, place, thing, quality, idea, or action",4,1,3.61,hard
poem,"a written composition in verse, not prose",4,2,4.25,hard
association,organization of people with the same interest,11,5,5.01,hard
assume,"to believe, based on the evidence; suppose",6,2,4.57,medium
index,a written or printed list of topics or words in a particular order,5,2,4.57,hard
journal,a written record of subjects or events,7,2,4.77,medium
cheese,a yellow or white food made from milk,6,1,4.57,hard
initiative,ability to decide or act upon things yourself without depending on someone else,10,4,4.36,hard
vision,ability to see things with your eyes,6,2,4.63,medium
capable,able to do something; can do,7,3,4.61,medium
attack,"to try to destroy, beat, or injure",6,2,5.09,hard
attempt,to try to do something challenging or difficult,7,2,4.85,medium
attend,to be present at an event,6,2,4.55,medium
mobile,able to move from one place to another,6,2,4.85,medium
attention,focus of your thoughts on something,9,3,5.11,hard
attract,to make someone notice and become interested in,7,2,4.2,hard
efficient,able to work well without waste,9,3,4.42,hard
over,above; across; more than; on the other side,4,2,6.08,hard
suitable,acceptable or right for someone or something,8,3,4.38,medium
recognition,accepting that something is true or that it exists,11,4,4.47,hard
luck,"accidental way things happen, often good things",4,1,4.91,easy
available,present and able to be used,9,4,5.28,hard
average,typical or normal; usual; ordinary,7,3,5.16,hard
avoid,"to prevent from happening, or stay away from",5,2,4.87,hard
award,to give a prize for doing something well,5,2,4.88,hard
aware,knowing or feeling that something exists,5,2,4.78,hard
